[INFO ] 2024-02-13 09:38:50.546 [LCE.App.main(App.java:37)-main] App - [33m==========================================================[0m
[INFO ] 2024-02-13 09:38:50.548 [LCE.App.main(App.java:38)-main] App - [33m[status] App Initiated[0m
[TRACE] 2024-02-13 09:39:01.052 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 585 is removed
[TRACE] 2024-02-13 09:39:01.052 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 587 is removed
[TRACE] 2024-02-13 09:39:01.053 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 589 is removed
[TRACE] 2024-02-13 09:39:01.053 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 597 is removed
[TRACE] 2024-02-13 09:39:01.053 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 601 is removed
[TRACE] 2024-02-13 09:39:01.053 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 628 is removed
[TRACE] 2024-02-13 09:39:01.053 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 629 is removed
[TRACE] 2024-02-13 09:39:01.053 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 630 is removed
[TRACE] 2024-02-13 09:39:01.054 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 635 is removed
[TRACE] 2024-02-13 09:39:01.054 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 636 is removed
[TRACE] 2024-02-13 09:39:01.054 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 638 is removed
[TRACE] 2024-02-13 09:39:01.054 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 639 is removed
[TRACE] 2024-02-13 09:39:01.054 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 640 is removed
[TRACE] 2024-02-13 09:39:01.054 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 645 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 646 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 654 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 655 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 656 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 659 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 662 is removed
[TRACE] 2024-02-13 09:39:01.055 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 665 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 667 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 669 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 670 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 672 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 675 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 680 is removed
[TRACE] 2024-02-13 09:39:01.056 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 681 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 682 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 683 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 684 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 685 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 686 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 687 is removed
[TRACE] 2024-02-13 09:39:01.057 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 688 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 689 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 692 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 693 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 694 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 695 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 696 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 697 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 698 is removed
[TRACE] 2024-02-13 09:39:01.058 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 709 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 721 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 722 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 725 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 726 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 728 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 730 is removed
[TRACE] 2024-02-13 09:39:01.059 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 731 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 732 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 734 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 735 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 736 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 737 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 738 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 739 is removed
[TRACE] 2024-02-13 09:39:01.060 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 740 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 741 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 742 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 743 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 744 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 745 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 746 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 747 is removed
[TRACE] 2024-02-13 09:39:01.061 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 748 is removed
[TRACE] 2024-02-13 09:39:01.062 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 749 is removed
[TRACE] 2024-02-13 09:39:01.062 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 750 is removed
[TRACE] 2024-02-13 09:39:01.062 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 751 is removed
[TRACE] 2024-02-13 09:39:01.062 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 752 is removed
[TRACE] 2024-02-13 09:39:01.062 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 753 is removed
[TRACE] 2024-02-13 09:39:01.062 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 754 is removed
[TRACE] 2024-02-13 09:39:01.063 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 755 is removed
